Allen Iverson,18.0,20.4,4.1,9.0,.065,.138,1.5,3.8,2.7,4.6
Marcus Camby,17.8,15.9,3.7,0.9,.095,.022,-0.3,-0.7,0.8,0.7
Shareef Abdur-Rahim,17.4,21.1,2.9,6.9,.049,.113,-2.0,1.2,0.0,2.3
Stephon Marbury,16.1,16.3,3.7,5.3,.077,.082,-1.0,-0.6,0.6,1.1
Ray Allen,14.6,16.2,4.9,7.0,.092,.102,0.3,1.8,1.5,3.2
Antoine Walker,15.5,17.8,1.7,4.7,.027,.070,-1.0,0.7,0.8,2.2
Lorenzen Wright,12.5,13.6,3.2,3.1,.079,.071,-1.5,-2.4,0.2,-0.2
Kerry Kittles,16.0,17.5,6.9,8.4,.110,.144,2.0,2.9,3.1,3.5
Samaki Walker,12.2,14.4,0.5,1.4,.037,.067,-5.4,-3.9,-0.5,-0.5
Erick Dampier,11.8,14.0,0.9,4.0,.040,.072,-3.0,-1.1,-0.3,0.6
Todd Fuller,10.4,11.8,0.7,0.7,.034,.053,-6.2,-8.0,-1.0,-0.9
Vitaly Potapenko,9.5,11.0,0.5,1.5,.020,.052,-5.9,-3.9,-1.2,-0.7
Steve Nash,10.8,15.6,0.7,4.8,.047,.137,-4.6,0.5,-0.5,1.1
Tony Delk,14.2,13.1,1.6,0.8,.087,.022,-0.3,-2.7,0.4,-0.3
John Wallace,13.0,14.8,1.6,1.5,.095,.031,-2.4,-4.3,-0.1,-1.4
Walter McCarty,6.4,11.6,0.0,2.9,-0.007,.060,-4.7,-0.6,-0.1,0.8
Roy Rogers,12.6,5.4,1.4,-0.1,.037,-0.047,-3.0,-7.1,-0.5,-0.1
Derek Fisher,11.0,12.9,1.1,3.8,.056,.104,-3.5,-1.3,-0.3,0.3
Jerome Williams,12.6,16.3,0.2,4.5,.049,.166,-2.9,0.9,0.0,1.0
Brian Evans,11.7,12.0,0.1,1.5,.070,.081,-3.6,-1.9,0.0,0.0
Priest Lauderdale,13.6,10.0,-0.2,-0.6,-0.048,-0.087,-6.8,-8.7,-0.2,-0.6
Travis Knight,14.1,13.6,3.3,3.0,.137,.096,-0.2,0.4,0.5,0.9
Tim Duncan,22.6,23.2,12.8,8.7,.192,.213,5.5,4.9,6.0,3.4
Keith Van Horn,15.7,19.6,4.8,3.7,.098,.113,-0.4,-0.7,0.9,0.5
Chauncey Billups,13.6,15.4,3.0,2.6,.065,.096,-1.8,-0.3,0.1,0.5
Antonio Daniels,9.9,16.1,-1.3,1.8,-0.032,.143,-6.2,-0.5,-2.1,0.2
Tony Battie,13.3,15.5,0.5,3.3,.015,.139,-3.3,1.1,-0.5,0.9
Ron Mercer,14.1,13.5,4.0,1.3,.073,.039,-2.0,-2.7,0.0,-0.3
Tim Thomas,14.9,16.0,3.4,2.2,.091,.130,-1.3,0.2,0.3,0.5
Adonal Foyle,9.2,12.3,-0.1,1.1,-0.009,.087,-5.4,-0.5,-0.6,0.2
Danny Fortson,14.3,18.7,1.9,4.4,.051,.148,-4.3,-2.0,-1.0,0.0
Tariq Abdul-Wahad,10.1,11.8,-0.2,1.4,-0.008,.058,-5.9,-2.8,-0.9,-0.2
Austin Croshere,7.7,12.3,0.0,0.3,.003,.054,-5.2,-1.1,-0.2,0.1
Derek Anderson,15.3,16.5,5.3,2.1,.139,.105,1.0,0.8,1.4,0.7
Maurice Taylor,16.1,15.2,1.8,0.7,.057,.024,-4.6,-3.7,-1.0,-0.6
Kelvin Cato,13.3,14.5,2.7,1.6,.129,.144,-0.3,2.2,0.4,0.6
Brevin Knight,17.1,16.6,8.4,2.5,.163,.100,2.3,0.1,2.7,0.6
Johnny Taylor,4.4,9.5,-0.1,0.2,-0.032,.014,-10.0,-2.4,-0.2,-0.1
Scot Pollard,13.3,18.0,0.9,1.1,.141,.200,-0.8,0.6,0.1,0.2
Paul Grant,-4.6,-14.3,-0.1,-0.1,-0.253,-0.319,-15.2,-21.8,0.0,0.0
Anthony Parker,14.0,30.9,0.4,0.0,.088,.274,-0.8,1.7,0.1,0.0
Ed Gray,13.0,4.8,0.8,-0.7,.083,-0.096,-3.6,-9.9,-0.2,-0.7
Bobby Jackson,13.6,14.4,-0.6,1.2,-0.014,.062,-2.2,-1.7,-0.1,0.1
Rodrick Rhodes,7.7,0.7,-0.9,-0.7,-0.040,-0.201,-5.9,-11.4,-1.0,-0.4
John Thomas,9.1,10.2,0.4,0.4,.034,.054,-4.7,-3.0,-0.4,-0.1
Charles Smith,9.8,-0.5,-0.3,-0.2,-0.057,-0.323,-5.9,-12.7,-0.3,-0.1
Jacque Vaughn,6.9,13.3,-0.4,0.1,-0.048,.069,-8.4,-3.1,-0.7,0.0
Keith Booth,13.8,7.0,0.0,-0.8,.107,-0.088,-6.9,-6.2,0.0,-0.5
Michael Olowokandi,11.8,10.4,-0.3,-0.8,-0.010,-0.016,-5.1,-6.2,-1.0,-2.6
Mike Bibby,14.8,16.7,1.3,5.6,.035,.086,-2.3,0.2,-0.1,1.7
Raef LaFrentz,18.9,16.3,1.2,5.9,.144,.116,-0.2,0.6,0.2,1.6
Antawn Jamison,16.6,16.7,2.3,1.4,.105,.043,-1.1,-1.9,0.2,0.1
Vince Carter,19.6,23.4,5.0,11.8,.136,.182,1.9,4.6,1.7,5.2
Robert Traylor,17.0,15.8,2.5,1.0,.152,.112,4.1,0.6,1.2,0.3
Jason Williams,12.8,11.6,2.1,1.5,.055,.026,-0.6,-1.9,0.6,0.1
Larry Hughes,16.7,14.7,2.4,1.7,.117,.036,0.4,-1.4,0.6,0.4
Paul Pierce,19.2,19.8,4.9,8.2,.144,.152,3.7,3.4,2.3,3.5
Bonzi Wells,26.3,17.3,0.1,3.1,.103,.130,2.2,1.6,0.0,1.1
Michael Doleac,13.7,13.3,2.2,3.0,.138,.106,-2.3,-2.3,-0.1,-0.1
Keon Clark,11.3,15.9,0.2,4.2,.029,.109,-2.6,-0.1,-0.1,0.9
Michael Dickerson,11.5,15.6,2.2,5.5,.069,.085,-1.9,-0.2,0.1,1.4
Matt Harpring,13.0,14.2,2.6,0.2,.113,.146,-1.4,2.7,0.2,0.1
Bryce Drew,6.6,10.9,-0.1,1.3,-0.007,.050,-6.0,-3.4,-0.4,-0.4
